"channel","asset_group","status","source_truth"
"instagram","IG01 manifesto","generated","identity assets"
"instagram","IG02 long lunch","existing v1","generated source + catalog references"
"instagram","IG03 signed rally","generated","current catalog"
"instagram","IG04 emotional support","generated","current catalog"
"instagram","IG05 out of office","generated — authentic + professional alternates","catalog + Court Archive + visual-direction references"
"instagram","IG06 brand film","five keyframes + cover generated; motion held for approval","native reference-led stills + P1"
"instagram","IG07 love cherries","generated","current catalog"
"instagram","IG08 serve chilled","generated","catalog + Court Archive + cinematic visual reference"
"instagram","IG09 small print","generated","current catalog"
"instagram","IG10 tennis lunch tennis","three-frame story + professional alternate generated","catalog + reference-led native generation"
"instagram","IG11 POV reel","keyframe + cover generated; motion held for approval","reference-led native generation"
"instagram","IG12 collection","generated","current catalog"
"pinterest","24 product pins","generated","current catalog"
"pinterest","6 graphic pins","generated","identity assets"
"pinterest","6 editorial pins","generated","approved-set still adaptations + deterministic typography"
"stories","8 launch stories","generated","identity/catalog/P1"
"highlights","6 covers","generated","identity assets"
"video-keyframes","V01 one more set","five generated; motion held for approval","professional/cinematic visual references"
"video-keyframes","V04 after the last set","one generated; motion held for approval","professional/cinematic visual references"
"video-keyframes","V11 court bag","generated and product-corrected; motion held for approval","Higgsfield product Elements + authoritative catalog correction"
"video-keyframes","V12 hydration","generated; motion held for approval","Higgsfield product Elements"
"facebook","still adaptations","generated; V1 motion held for approval","Instagram clean masters"
